,artist_name,track_name,track_id,track_popularity,artist_id,song_length_ms
0,Glass Animals,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,85,4yvcSjfu4PC0CYQyLy4wSq,238805
1,Waylon Jennings,The Year 2003 Minus 25 - Remastered,0sFq478LIo9BFwf2qzMzzF,39,7wCjDgV6nqBsHguQXPAaIM,184266
2,Elley Duhé,MIDDLE OF THE NIGHT,58HvfVOeJY7lUuCqF0m3ly,91,67MNhiAICFY6Pwc2YxCO0K,184447
3,Tame Impala,Alter Ego - 2020 Mix,457sndKohlwTU6dW6amBMU,42,5INjqkS1o8h1imAzPqGZBb,289866
4,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,89,1Xyo4u8uXC1ZmMpatF05PJ,200040
5,Mads & Co.,Year 2020,1E7kvOufjivgCGLETpjvFs,0,1Zr86U3TuL6n1VkmENnPCm,176000
6,THE ANXIETY,Meet Me At Our Spot,07MDkzWARZaLEdKxo6yArG,83,64H8UqGLbJFHwKtGxiV8OP,162680
7,권영찬,Year 2000,5x187wwmFQNi5HQTrqkFQZ,22,4ZfOBmLAMXyn48SfyNJilP,111893
8,Glass Animals,Heat Waves,02MWAaffLxlfxAUY7c5dvx,90,4yvcSjfu4PC0CYQyLy4wSq,238805
9,Tame Impala,Runway Houses City Clouds - 2020 Mix,2rOsZbCZxH7P4mvuiBIgoP,37,5INjqkS1o8h1imAzPqGZBb,428626
10,Playboi Carti,Sky,29TPjc8wxfz4XMn21O7VsZ,81,699OTQXzgjhIYAHMy9RyPD,193234
11,Zager & Evans,In the Year 2525,3LdLGNKCW0dNr14JQlZPQt,35,55IyYO6fmYpYw6Nd4YF7bw,191160
12,Eslabon Armado,Jugaste y Sufrí,3NqBxTOMCJ3zW9CIP51td4,81,0XeEobZplHxzM9QzFQWLiR,275194
13,Silverchair,Anthem for the Year 2000,3LMpZcOhaz2CUX5rfoCNRs,45,4iudEcmuPlYNdbP3e1bdn1,247786
14,The Weeknd,Save Your Tears,5QO79kh1waicV47BqGRL3g,87,1Xyo4u8uXC1ZmMpatF05PJ,215626
15,New West,Years Ago,6NdyWIS7wxMTombWPpzjqf,37,69bG9tC62d8oTFC9aTTosn,194911
16,Polo G,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,80,6AgTAQt8XS6jRWi4sX7w49,132832
17,Jonas Brothers,Year 3000,7BbyWKteSctTKe696qf7fw,47,7gOdHgIoIKoe4i9Tta6qdD,201813
18,SZA,Good Days,3YJJjQPAbDT7mGpX3WtQ9A,80,7tYKF4w9nC0nq9CsPZTHyP,279204
19,Sukima Switch,Ah Yeah!! - 2020 Remaster,1EryXVV7xCH10UeVvF3RMB,37,0wRzWf3I4lUl9hdFF5uL0m,306213
20,Conan Gray,Heather,4xqrdfXkTW4T0RauPLv3WA,84,4Uc8Dsxct0oMqx0P6i60ea,198040
21,Hammock,Dark Beyond the Blue (2020),6t3w4yBR0Y1CxSNCh5EgDZ,37,0VOR7Ie9xUSb45fzIIVJQ1,325680
22,Eminem,Godzilla (feat. Juice WRLD),7FIWs0pqAYbP91WWM0vlTQ,82,7dGJo4pcD2V6oG8kP0tJRR,210800
23,Jonas Brothers,Year 3000,4zP7ADsgJgHGY6VzxbNp1z,63,7gOdHgIoIKoe4i9Tta6qdD,201960
24,Glass Animals,Heat Waves,6CDzDgIUqeDY5g8ujExx2f,85,4yvcSjfu4PC0CYQyLy4wSq,238805
25,Frank Sinatra,It Was A Very Good Year - 2008 Remastered,1vLPTWPfJSIrqOhNUWNfNY,42,1Mxqyy3pSjf8kZZL4QVxS0,266973
26,Juice WRLD,Wishing Well,2U5WueTLIK5WJLD7mvDODv,79,4MCBfE4596Uoi2O4DtmEMz,194621
27,The Rolling Stones,100 Years Ago - 2020,0RJplx8HMNZsBYmvjCsnO4,33,22bE4uQ6baNwSHPVcDxLCe,238133
28,Luke Combs,Forever After All,6IBcOGPsniK3Pso1wHIhew,76,718COspgdWOnwOFpJHRZHS,232533
29,ReTro d.r.E,Year 2020,2IgJQHUGFPdMSrNJdKQLVm,1,2gEgjW7Edg32td3C8lM8TE,150857
30,Kali Uchis,telepatía,6tDDoYIxWvMLTdKpjFkc1B,81,1U1el3k54VvEUzo3ybLPlM,160191
31,Year 200X,Ghosts N Goblins,0qSXoNHcm1sn9kWcAG7WCx,23,6JMGrupbzJZ3yuQhTGyeHr,106973
32,Machine Gun Kelly,my ex's best friend (with blackbear),7kDUspsoYfLkWnZR7qwHZl,79,6TIYQ3jFPwQSRmorSezPxX,139460
33,The Glitch Mob,Between Two Points (feat. Swan) - 2020 Remaster,0sfly5zhJJhfoLbcCMmiRB,36,3a9qv6NLHnsVxJUtKOMHvD,333193
34,King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW,76,6QtgPSJPSzcnn7dPZ4VINp,196179
35,Lo' Kuntry,Year 2020,06Oy3HFUXZYmNi2YpAQ6XZ,1,1AU5bWGVBRZ4NCl9E9oNlu,117655
36,Juice WRLD,Come & Go (with Marshmello),2Y0wPrPQBrGhoLn14xRYCG,79,4MCBfE4596Uoi2O4DtmEMz,205484
37,Year 200X,Ducktales (the Moon),0r5y3Ia2Wu3UkenDH2Ulhk,24,6JMGrupbzJZ3yuQhTGyeHr,131253
38,Dua Lipa,Levitating (feat. DaBaby),5nujrmhLynf4yMoMtj8AQF,84,6M2wZ9GZgrQXHCFfjv46we,203064
39,Johann Strauss II,"An der schönen blauen Donau, Walzer, Op. 314",5431KRbZtVF3tVgMR1lIYS,40,5goS0v24Fc1ydjCKQRwtjM,622226
40,Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,79,3TVXtAsR1Inumwj472S9r4,261492
41,Lo' Kuntry,Year 2020,0y6M06A3mPwYj3le6fQwlt,1,1AU5bWGVBRZ4NCl9E9oNlu,117561
42,Tate McRae,you broke me first,45bE4HXI0AwGZXfZtMp8JR,82,45dkTj5sMRSjrmBSBeiHym,169265
43,Year 200X,Zelda II (Title - Battle - Fairy - Palace),1mo7zvAi0AFpLj4ODV9AyY,19,6JMGrupbzJZ3yuQhTGyeHr,386226
44,Jack Harlow,I WANNA SEE SOME ASS (feat. jetsonmade),2aWVaW1p2kUc5yuKwBmRJi,78,2LIk90788K0zvyj2JJVwkJ,125302
45,Papa Roach,Gravity - Remastered 2020,4zN1YCljFntHRccaX35RNg,31,4RddZ3iHvSpGV4dvATac9X,244448
46,$uicideboy$,"...And to Those I Love, Thanks for Sticking Around",30QR0ndUdiiMQMA9g1PGCm,78,1VPmR4DJC1PlOtd0IADAO0,168489
47,Nrthrn,Year 2020,2wQASuopyArgsh6SiHGylg,2,2JrapUnu1gX16UFMDjmok2,256000
48,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),0PvFJmanyNQMseIFrU708S,80,0eDvMgVFoNV3TpwtrVCoTj,190476
49,Year 200X,Castlevania III (the Beginning),2HUMceEhjkJoOfn7UsomyX,20,6JMGrupbzJZ3yuQhTGyeHr,114000
